cliente_id,nombre,tipo_cliente,zona_id,fecha_alta
1,Almacén Acuña,autoservicio,2,2021-04-09
2,Parrilla Sanchez,bar_restaurante,3,2022-04-30
3,Pizzería Navarro,bar_restaurante,2,2021-07-26
4,Kiosco Sosa,kiosco,2,2023-08-27
5,Autoservicio Diaz,autoservicio,1,2023-09-14
6,Kiosco Ramirez,kiosco,1,2020-05-03
7,Maxikiosco Ortiz,kiosco,1,2024-02-14
8,Despensa Ayala,autoservicio,2,2020-03-23
9,Mayorista Sosa,mayorista,1,2020-12-22
10,Restaurante Escobar,bar_restaurante,3,2022-02-24
11,Maxikiosco Flores,kiosco,1,2020-09-18
12,Parrilla Lopez,bar_restaurante,1,2024-10-21
13,Pizzería Perez,bar_restaurante,2,2020-08-09
14,Maxikiosco Gomez,kiosco,2,2024-04-14
15,Mayorista Sanchez,mayorista,2,2023-12-27
16,Kiosco Figueroa,kiosco,1,2022-10-24
17,Maxikiosco Navarro,kiosco,2,2024-08-06
18,Parrilla Ponce,bar_restaurante,2,2021-07-22
19,Autoservicio Figueroa,autoservicio,1,2024-09-26
20,Parrilla Vargas,bar_restaurante,1,2020-09-26
21,Kiosco Gonzalez,kiosco,1,2023-02-22
22,Almacén Lopez,autoservicio,2,2020-10-28
23,Almacén Villalba,autoservicio,3,2022-12-15
24,Autoservicio Ferreyra,autoservicio,2,2024-03-14
25,Almacén Gutierrez,autoservicio,1,2020-02-03
26,Maxikiosco Ayala,kiosco,2,2021-08-28
27,Autoservicio Gonzalez,autoservicio,2,2022-08-19
28,Supermercado Castro,supermercado,2,2020-08-04
29,Pizzería Cabrera,bar_restaurante,2,2021-11-09
30,Supermercado Ortiz,supermercado,3,2022-08-20
31,Distribuidora Rodriguez,mayorista,1,2021-03-25
32,Kiosco Paez,kiosco,2,2024-05-15
33,Kiosco Acosta,kiosco,2,2020-05-01
34,Maxikiosco Perez,kiosco,2,2024-07-30
35,Kiosco Gonzalez,kiosco,3,2020-09-18
36,Kiosco Perez,kiosco,1,2022-04-05
37,Kiosco Silva,kiosco,1,2020-07-29
38,Kiosco Maidana,kiosco,1,2022-02-16
39,Supermercado Alvarez,supermercado,2,2022-12-06
40,Restaurante Pereyra,bar_restaurante,1,2023-08-26
41,Maxikiosco Navarro,kiosco,3,2024-05-03
42,Kiosco Torres,kiosco,1,2021-02-17
43,Autoservicio Mayorista Peralta,supermercado,2,2021-03-28
44,Supermercado Carrizo,supermercado,1,2024-08-03
45,Despensa Luna,autoservicio,1,2022-08-06
46,Almacén Fernandez,autoservicio,1,2023-06-02
47,Despensa Ramirez,autoservicio,3,2020-06-29
48,Despensa Perez,autoservicio,3,2022-11-15
49,Mayorista Fernandez,mayorista,2,2023-11-12
50,Parrilla Luna,bar_restaurante,1,2021-08-08
51,Autoservicio Mayorista Sanchez,supermercado,3,2022-07-20
52,Bar Fernandez,bar_restaurante,2,2021-03-29
53,Supermercado Mendoza,supermercado,1,2021-04-28
54,Maxikiosco Gomez,kiosco,2,2021-09-05
55,Maxikiosco Vega,kiosco,1,2021-10-28
56,Bar Alvarez,bar_restaurante,2,2021-03-03
57,Despensa Pereyra,autoservicio,3,2021-06-22
58,Kiosco Diaz,kiosco,2,2022-04-14
59,Parrilla Hernandez,bar_restaurante,3,2022-08-28
60,Restaurante Morales,bar_restaurante,2,2023-10-19
61,Mayorista Martinez,mayorista,1,2023-02-20
62,Bar Garcia,bar_restaurante,1,2022-06-30
63,Bar Lucero,bar_restaurante,1,2024-04-07
64,Mayorista Gomez,mayorista,1,2022-11-18
65,Kiosco Gonzalez,kiosco,3,2020-06-02
66,Despensa Diaz,autoservicio,3,2022-01-07
67,Almacén Alvarez,autoservicio,2,2022-12-11
68,Kiosco Villalba,kiosco,3,2023-07-31
69,Pizzería Avila,bar_restaurante,1,2022-12-05
70,Bar Gonzalez,bar_restaurante,1,2020-01-16
71,Parrilla Miranda,bar_restaurante,2,2022-11-03
72,Almacén Peralta,autoservicio,2,2022-07-27
73,Almacén Blanco,autoservicio,2,2022-06-10
74,Maxikiosco Correa,kiosco,1,2023-07-30
75,Supermercado Velazquez,supermercado,2,2020-06-08
76,Restaurante Gomez,bar_restaurante,2,2023-08-16
77,Mayorista Cordoba,mayorista,3,2021-08-27
78,Autoservicio Mayorista Gomez,supermercado,1,2022-08-22
79,Kiosco Romero,kiosco,1,2021-07-24
80,Autoservicio Mayorista Rios,supermercado,3,2023-08-28
81,Pizzería Dominguez,bar_restaurante,2,2021-11-25
82,Almacén Benitez,autoservicio,3,2023-01-14
83,Despensa Martinez,autoservicio,2,2022-05-18
84,Despensa Cabrera,autoservicio,2,2022-02-07
85,Parrilla Ortiz,bar_restaurante,3,2020-08-03
86,Bar Navarro,bar_restaurante,1,2020-02-29
87,Supermercado Diaz,supermercado,1,2023-05-27
88,Maxikiosco Garcia,kiosco,2,2024-10-19
89,Maxikiosco Medina,kiosco,2,2022-04-10
90,Almacén Villalba,autoservicio,3,2022-09-14
91,Autoservicio Luna,autoservicio,3,2020-07-20
92,Almacén Escobar,autoservicio,1,2020-03-20
93,Restaurante Gonzalez,bar_restaurante,3,2020-07-12
94,Kiosco Ferreyra,kiosco,2,2023-05-18
95,Maxikiosco Ruiz,kiosco,1,2024-06-12
96,Distribuidora Suarez,mayorista,1,2024-01-04
97,Restaurante Herrera,bar_restaurante,3,2020-12-25
98,Kiosco Gomez,kiosco,1,2020-10-10
99,Autoservicio Miranda,autoservicio,2,2020-04-04
100,Despensa Gonzalez,autoservicio,1,2021-03-20
101,Autoservicio Dominguez,autoservicio,2,2020-04-14
102,Parrilla Perez,bar_restaurante,2,2024-01-24
103,Maxikiosco Martinez,kiosco,1,2024-02-26
104,Parrilla Ojeda,bar_restaurante,1,2022-09-05
105,Autoservicio Silva,autoservicio,2,2023-09-11
106,Mayorista Gomez,mayorista,1,2020-04-06
107,Mayorista Acuña,mayorista,1,2020-12-16
108,Pizzería Godoy,bar_restaurante,3,2022-07-11
109,Maxikiosco Rojas,kiosco,2,2020-04-09
110,Mayorista Moyano,mayorista,3,2022-01-15
111,Kiosco Toledo,kiosco,1,2020-11-10
112,Supermercado Castillo,supermercado,3,2022-09-10
113,Parrilla Gonzalez,bar_restaurante,2,2023-11-21
114,Autoservicio Sanchez,autoservicio,1,2022-09-07
115,Bar Castillo,bar_restaurante,2,2021-06-30
116,Autoservicio Gonzalez,autoservicio,2,2020-10-13
117,Supermercado Ruiz,supermercado,2,2020-09-26
118,Kiosco Fernandez,kiosco,2,2024-10-28
119,Maxikiosco Pereyra,kiosco,1,2020-08-31
120,Bar Lopez,bar_restaurante,2,2021-12-27
121,Autoservicio Mayorista Martin,supermercado,2,2023-02-23
122,Bar Lopez,bar_restaurante,1,2022-12-25
123,Autoservicio Mayorista Perez,supermercado,1,2021-07-28
124,Maxikiosco Sanchez,kiosco,2,2020-06-22
125,Distribuidora Acosta,mayorista,2,2022-11-03
126,Bar Sosa,bar_restaurante,2,2023-01-22
127,Bar Gonzalez,bar_restaurante,2,2021-07-27
128,Pizzería Quiroga,bar_restaurante,2,2022-08-11
129,Distribuidora Perez,mayorista,2,2021-10-15
130,Almacén Dominguez,autoservicio,3,2024-03-19
131,Despensa Ponce,autoservicio,2,2022-07-01
132,Almacén Mendoza,autoservicio,1,2021-11-26
133,Kiosco Escobar,kiosco,1,2022-06-14
134,Maxikiosco Maldonado,kiosco,3,2020-05-21
