carga_id,vehiculo_id,fecha,litros,precio_litro,km_odometro
1,1,2022-01-10,76.8,408.5,111409.4
2,1,2022-01-14,81.8,407.0,111898.9
3,1,2022-01-20,68.5,413.0,112331.1
4,1,2022-01-27,77.0,389.4,112873.8
5,1,2022-01-31,87.1,407.8,113465.0
6,1,2022-02-09,86.9,404.6,114002.5
7,1,2022-02-24,78.6,402.4,114509.9
8,1,2022-03-06,74.4,389.6,115004.8
9,1,2022-03-14,61.5,408.1,115393.9
10,1,2022-03-20,69.8,387.3,115830.8
11,1,2022-04-04,89.0,424.9,116398.3
12,1,2022-04-13,64.8,447.1,116786.1
13,1,2022-04-23,74.1,428.1,117289.6
14,1,2022-05-04,86.7,436.5,117840.2
15,1,2022-05-22,70.9,454.4,118295.6
16,1,2022-06-14,90.9,439.0,118858.3
17,1,2022-06-30,89.7,426.8,119409.5
18,1,2022-07-09,72.6,492.7,119923.3
19,1,2022-07-26,74.4,504.1,120370.0
20,1,2022-08-10,85.2,513.6,120878.0
21,1,2022-08-16,98.9,498.5,121491.6
22,1,2022-08-21,71.6,488.3,121922.5
23,1,2022-09-05,96.2,522.5,122575.8
24,1,2022-09-12,71.9,503.8,123029.7
25,1,2022-09-19,75.8,520.8,123564.0
26,1,2022-09-25,67.0,484.4,124020.8
27,1,2022-10-04,88.9,588.6,124553.4
28,1,2022-10-12,90.6,556.7,125109.8
29,1,2022-10-25,72.6,575.8,125596.5
30,1,2022-11-03,97.2,549.1,126194.6
31,1,2022-11-13,86.7,551.4,126786.4
32,1,2022-11-17,68.5,564.0,127226.4
33,1,2022-11-26,69.6,572.1,127706.0
34,1,2022-12-01,83.6,588.2,128218.6
35,1,2022-12-08,69.0,552.2,128657.3
36,1,2022-12-13,75.4,552.5,129137.3
37,1,2022-12-18,80.6,577.3,129682.5
38,1,2022-12-23,67.9,575.8,130123.5
39,1,2022-12-28,82.2,585.3,130694.1
40,1,2023-01-02,71.1,630.7,131122.5
41,1,2023-01-06,90.3,612.7,131665.3
42,1,2023-01-09,70.2,606.7,132118.1
43,1,2023-01-16,81.0,588.3,132690.3
