mantenimiento_id,insumo_id,cantidad,costo_total
1,12,7.0,49421
2,1,10.0,61027
2,2,1.0,11945
3,6,1.0,98209
4,1,10.0,74369
4,2,1.0,12100
5,5,2.0,613188
6,1,8.0,73382
6,2,1.0,14806
7,11,1.0,55552
7,3,1.0,26460
8,1,11.0,127853
8,2,1.0,19331
9,6,1.0,157086
10,1,9.0,105275
10,2,1.0,21202
11,8,1.0,602716
11,12,6.0,89574
12,1,9.0,118915
12,2,1.0,23244
13,1,8.0,118591
13,2,1.0,24665
14,6,1.0,210336
15,5,2.0,1089966
16,1,14.0,233647
16,2,1.0,28100
17,5,2.0,387789
18,9,1.0,164734
18,7,1.0,107527
19,1,10.0,58532
19,2,1.0,10603
20,11,1.0,41421
21,1,8.0,59765
21,2,1.0,12876
22,6,1.0,100059
23,1,8.0,60659
23,2,1.0,12669
24,8,1.0,354308
24,12,7.0,72545
25,9,1.0,306047
25,10,1.0,157065
26,1,9.0,91171
26,2,1.0,16679
27,1,10.0,117318
27,2,1.0,19196
28,6,1.0,162378
29,5,2.0,910146
30,7,1.0,225943
30,9,1.0,391268
31,1,14.0,154662
31,2,1.0,21934
32,7,1.0,310800
32,12,7.0,125707
33,1,14.0,188657
33,2,1.0,24559
34,10,1.0,289725
34,11,1.0,89489
35,1,9.0,147989
35,2,1.0,28982
36,6,1.0,226662
37,1,10.0,51125
37,2,1.0,9709
38,1,12.0,74851
38,2,1.0,11562
39,6,1.0,86927
40,1,13.0,98503
40,2,1.0,13107
41,5,4.0,1217743
42,9,1.0,267092
43,1,14.0,120821
43,2,1.0,16145
44,3,1.0,22238
45,1,14.0,158260
45,2,1.0,20897
46,6,1.0,151392
47,1,8.0,98958
47,2,1.0,20322
48,8,1.0,597799
48,12,5.0,78537
49,1,13.0,143818
49,2,1.0,21195
50,1,9.0,125181
50,2,1.0,23323
51,6,1.0,196701
52,5,2.0,1155173
53,1,9.0,143960
53,2,1.0,28112
54,5,2.0,410650
55,1,11.0,60436
55,2,1.0,10390
56,10,1.0,123718
56,9,1.0,216695
