pedido_id,producto_id,cantidad,precio_unitario
1,16,9,1790.0
1,11,9,1960.0
2,6,23,1690.0
2,8,21,1120.0
2,21,11,820.0
3,2,9,2080.0
3,16,12,1760.0
3,19,23,1090.0
3,13,18,1390.0
3,23,7,1920.0
4,21,25,790.0
4,22,19,1870.0
4,16,13,1820.0
4,11,6,1990.0
4,20,9,1290.0
4,4,14,6400.0
5,12,19,1430.0
5,6,7,1680.0
5,23,25,1990.0
5,17,16,6530.0
5,15,19,1570.0
5,4,23,6300.0
6,4,24,6370.0
6,25,19,780.0
6,8,12,1120.0
7,11,5,2030.0
7,26,22,1380.0
7,4,17,6430.0
7,17,4,6400.0
7,10,19,1790.0
7,13,19,1360.0
8,11,14,1940.0
8,8,20,1150.0
8,1,5,2760.0
9,3,5,1180.0
9,18,17,11800.0
10,22,17,1860.0
10,4,5,6220.0
10,11,4,2000.0
10,21,24,790.0
10,6,20,1730.0
10,25,8,780.0
11,20,17,1250.0
11,22,19,1880.0
12,14,14,1970.0
12,20,11,1300.0
13,7,13,10380.0
13,3,20,1140.0
14,12,7,1460.0
14,18,14,12300.0
14,11,10,2000.0
14,21,19,780.0
14,5,12,1570.0
15,7,20,10100.0
15,13,11,1370.0
15,18,13,12080.0
16,8,8,1220.0
16,24,16,1750.0
17,22,18,2070.0
17,11,13,2110.0
18,4,14,7050.0
18,3,13,1270.0
18,15,13,1720.0
18,6,9,1840.0
19,9,5,5660.0
19,22,18,2100.0
19,24,8,1720.0
19,13,16,1530.0
20,24,8,1720.0
20,22,10,2070.0
20,2,6,2280.0
20,26,17,1570.0
21,18,12,13600.0
21,9,9,5830.0
21,7,10,11160.0
21,4,16,7070.0
22,9,5,5550.0
22,21,10,900.0
22,18,17,13280.0
22,1,6,3150.0
22,15,17,1650.0
23,21,10,860.0
23,20,8,1440.0
23,2,6,2180.0
23,8,13,1210.0
24,13,12,1520.0
24,7,13,11460.0
24,12,13,1540.0
24,1,4,3070.0
24,3,17,1310.0
24,16,9,1970.0
25,12,9,1760.0
25,23,17,2390.0
25,8,12,1380.0
25,9,18,6480.0
25,11,18,2420.0
26,7,10,12670.0
26,1,5,3370.0
26,16,13,2210.0
27,16,17,2270.0
27,23,8,2490.0
27,26,18,1790.0
27,25,4,970.0
27,20,5,1590.0
28,3,14,1480.0
28,24,13,1930.0
28,26,9,1700.0
28,10,12,2230.0
29,23,12,2510.0
29,8,16,1410.0
29,2,6,2530.0
29,10,4,2170.0
29,6,9,2120.0
29,11,5,2500.0
30,18,13,15350.0
30,10,10,2230.0
30,26,4,1770.0
30,21,12,990.0
30,17,4,8390.0
31,13,13,1700.0
31,20,5,1630.0
31,10,8,2190.0
31,9,14,6370.0
31,21,5,1010.0
32,10,14,2240.0
32,7,4,13140.0
32,25,9,950.0
32,4,9,7880.0
32,18,5,14640.0
32,14,9,2330.0
33,14,19,2750.0
33,8,8,1530.0
33,20,12,1830.0
33,11,8,2770.0
33,25,19,1070.0
33,24,15,2230.0
34,9,18,7110.0
34,5,4,2170.0
34,8,12,1580.0
35,22,18,2710.0
35,18,11,16890.0
35,15,7,2100.0
35,24,11,2270.0
36,24,13,2210.0
36,1,4,3890.0
36,23,18,2670.0
