historial_id,vehiculo_id,fecha_desde,fecha_hasta,estado,motivo
1,1,2022-01-10,2022-01-12,en_taller,Reparación correctiva en taller
2,1,2022-07-10,2022-07-11,en_taller,Service programado - Cambio de aceite y filtro
3,1,2022-07-10,2022-07-12,en_taller,Service programado - Service de frenos
4,1,2022-12-21,2022-12-23,en_taller,Service programado - Cambio de aceite y filtro
5,1,2023-02-10,2023-02-12,en_taller,Service programado - Cambio de cubiertas
6,1,2023-04-01,2023-04-02,en_taller,Service programado - Cambio de aceite y filtro
7,1,2023-08-02,2023-08-03,en_taller,Reparación correctiva en taller
8,1,2023-10-06,2023-10-07,en_taller,Service programado - Cambio de aceite y filtro
9,1,2023-10-06,2023-10-08,en_taller,service programado - Service de frenos
10,1,2024-01-08,2024-01-09,en_taller,Service programado - Cambio de aceite y filtro
11,1,2024-01-08,2024-01-10,en_taller,Service programado - Cambio de correa de distribución
12,1,2024-04-15,2024-04-17,en_taller,Service programado - Cambio de aceite y filtro
13,1,2024-08-22,2024-08-24,en_taller,Service programado - Cambio de aceite y filtro
14,1,2024-08-22,2024-08-23,en_taller,Service programado - Service de frenos
15,1,2024-08-22,2024-08-24,en_taller,Service programado - Cambio de cubiertas
16,1,2024-11-27,2024-11-29,en_taller,Serv. programado - Cambio de aceite y filtro
17,2,2022-02-22,2022-02-24,en_taller,Service programado - Cambio de cubiertas
18,2,2022-02-27,2022-03-01,en_taller,  reparación correctiva en taller  
19,2,2022-05-31,2022-06-02,en_taller,Service programado - Cambio de aceite y filtro
20,2,2022-11-03,2022-11-04,en_taller,Reparación correctiva en taller
21,2,2022-12-11,2022-12-12,en_taller,Serv. programado - Cambio de aceite y filtro
22,2,2022-12-11,2022-12-12,en_taller,Service programado - Service de frenos
23,2,2023-03-18,2023-03-20,en_taller,Service programado - Cambio de aceite y filtro
24,2,2023-03-18,2023-03-19,en_taller,Service programado - Cambio de correa de distribución
360,2,2023-03-29,2023-04-05,fuera_de_servicio,Vehículo prestado a otra sucursal
25,2,2023-04-28,2023-05-01,en_taller,Reparación correctiva en taller
26,2,2023-09-14,2023-09-16,en_taller,Serv. programado - Cambio de aceite y filtro
27,2,2023-12-30,2023-12-31,en_taller,Service programado - Cambio de aceite y filtro
28,2,2023-12-30,2023-12-31,en_taller,Service programado - Service de frenos
29,2,2023-12-30,2024-01-01,en_taller,Service programado - Cambio de cubiertas
30,2,2023-12-31,2024-01-05,en_taller,Reparac. correctiva en taller
31,2,2024-03-25,2024-03-27,en_taller,Service programado - Cambio de aceite y filtro
32,2,2024-07-07,2024-07-09,en_taller,Reparación correctiva en taller
33,2,2024-07-26,2024-07-28,en_taller,  service programado - cambio de aceite y filtro  
