mantenimiento_id,vehiculo_id,fecha,tipo,subtipo,km_odometro,taller,costo_mano_obra
1,1,2022-01-10,correctivo,,111409.4,Taller Central de Flota,104972
2,1,2022-07-10,preventivo,cambio_aceite_filtro,120000.0,Taller Mecánico San Martín,38142
3,1,2022-07-10,preventivo,frenos,120000.0,Service Oficial Mercedes-Benz,66000
4,1,2022-12-21,preventivo,cambio_aceite_filtro,130000.0,Service Oficial Mercedes-Benz,37555
5,1,2023-02-10,preventivo,cubiertas,135000.0,Taller Central de Flota,29628
6,1,2023-04-01,preventivo,cambio_aceite_filtro,140000.0,Service Oficial Mercedes-Benz,39700
7,1,2023-08-02,correctivo,,146037.4,Taller Mecánico La Ruta,275550
8,1,2023-10-06,preventivo,cambio_aceite_filtro,150000.0,Frenos y Embragues Sur,39471
9,1,2023-10-06,preventivo,frenos,150000.0,Taller Mecánico La Ruta,83675
10,1,2024-01-08,preventivo,cambio_aceite_filtro,160000.0,Gomería y Mecánica El Rápido,54275
11,1,2024-01-08,preventivo,correa_distribucion,160000.0,Taller Mecánico La Ruta,148616
12,1,2024-04-15,preventivo,cambio_aceite_filtro,170000.0,Service Oficial Iveco,59560
13,1,2024-08-22,preventivo,cambio_aceite_filtro,180000.0,Taller Diesel Norte,63946
14,1,2024-08-22,preventivo,frenos,180000.0,Taller Rodríguez Hnos.,131163
15,1,2024-08-22,preventivo,cubiertas,180000.0,Gomería y Mecánica El Rápido,50822
16,1,2024-11-27,preventivo,cambio_aceite_filtro,190000.0,Taller Diesel Norte,53764
17,2,2022-02-22,preventivo,cubiertas,135000.0,Taller Mecánico La Ruta,21335
18,2,2022-02-27,correctivo,,135348.2,Service Oficial Iveco,46070
19,2,2022-05-31,preventivo,cambio_aceite_filtro,140000.0,Taller Mecánico San Martín,27680
20,2,2022-11-03,correctivo,,146675.1,Taller Rodríguez Hnos.,221223
21,2,2022-12-11,preventivo,cambio_aceite_filtro,150000.0,Taller Mecánico La Ruta,44373
22,2,2022-12-11,preventivo,frenos,150000.0,Service Oficial Mercedes-Benz,40712
23,2,2023-03-18,preventivo,cambio_aceite_filtro,160000.0,Taller Mecánico La Ruta,44793
24,2,2023-03-18,preventivo,correa_distribucion,160000.0,Frenos y Embragues Sur,125603
25,2,2023-04-28,correctivo,,162762.6,Taller Central de Flota,276554
26,2,2023-09-14,preventivo,cambio_aceite_filtro,170000.0,Taller Mecánico La Ruta,37790
27,2,2023-12-30,preventivo,cambio_aceite_filtro,180000.0,Service Oficial Iveco,38702
28,2,2023-12-30,preventivo,frenos,180000.0,Gomería y Mecánica El Rápido,104472
29,2,2023-12-30,preventivo,cubiertas,180000.0,Service Oficial Iveco,38322
30,2,2023-12-31,correctivo,,180008.9,Gomería y Mecánica El Rápido,48646
31,2,2024-03-25,preventivo,cambio_aceite_filtro,190000.0,Taller Mecánico San Martín,56245
32,2,2024-07-07,correctivo,,198444.9,Frenos y Embragues Sur,107663
33,2,2024-07-26,preventivo,cambio_aceite_filtro,200000.0,Taller Central de Flota,89233
34,2,2024-10-12,correctivo,,206783.6,Taller Mecánico San Martín,474997
35,2,2024-11-11,preventivo,cambio_aceite_filtro,210000.0,Service Oficial Mercedes-Benz,80624
36,2,2024-11-11,preventivo,frenos,210000.0,Taller Central de Flota,111691
37,3,2022-01-18,preventivo,cambio_aceite_filtro,110000.0,Taller Rodríguez Hnos.,31935
38,3,2022-08-22,preventivo,cambio_aceite_filtro,120000.0,Taller Diesel Norte,39025
39,3,2022-08-22,preventivo,frenos,120000.0,Taller Mecánico La Ruta,57504
40,3,2022-12-29,preventivo,cambio_aceite_filtro,130000.0,Gomería y Mecánica El Rápido,32151
41,3,2023-02-17,preventivo,cubiertas,135000.0,Taller Central de Flota,18410
42,3,2023-02-24,correctivo,,135731.6,Taller Central de Flota,34341
43,3,2023-04-24,preventivo,cambio_aceite_filtro,140000.0,Taller Diesel Norte,54463
44,3,2023-05-11,correctivo,,140574.7,Taller Rodríguez Hnos.,164998
45,3,2023-10-02,preventivo,cambio_aceite_filtro,150000.0,Taller Mecánico San Martín,45014
46,3,2023-10-02,preventivo,frenos,150000.0,Taller Diesel Norte,94911
47,3,2024-01-01,preventivo,cambio_aceite_filtro,160000.0,Service Oficial Iveco,57095
48,3,2024-01-01,preventivo,correa_distribucion,160000.0,Taller Mecánico San Martín,123358
49,3,2024-03-27,preventivo,cambio_aceite_filtro,170000.0,Taller Mecánico La Ruta,40113
50,3,2024-07-27,preventivo,cambio_aceite_filtro,180000.0,Taller Mecánico San Martín,74368
51,3,2024-07-27,preventivo,frenos,180000.0,Taller Diesel Norte,98400
52,3,2024-07-27,preventivo,cubiertas,180000.0,Frenos y Embragues Sur,32122
53,3,2024-11-06,preventivo,cambio_aceite_filtro,190000.0,Taller Mecánico La Ruta,97911
54,4,2022-01-31,preventivo,cubiertas,135000.0,Service Oficial Mercedes-Benz,17879
55,4,2022-05-06,preventivo,cambio_aceite_filtro,140000.0,Service Oficial Mercedes-Benz,36907
56,4,2022-08-13,correctivo,,144533.1,Taller Diesel Norte,89996
57,4,2022-11-19,preventivo,cambio_aceite_filtro,150000.0,Taller Mecánico La Ruta,25783
58,4,2022-11-19,preventivo,frenos,150000.0,Service Oficial Iveco,42997
59,4,2023-01-11,correctivo,,154954.2,Service Oficial Mercedes-Benz,227221
60,4,2023-02-25,preventivo,cambio_aceite_filtro,160000.0,Taller Diesel Norte,45923
61,4,2023-02-25,preventivo,correa_distribucion,160000.0,Frenos y Embragues Sur,90453
62,4,2023-07-22,preventivo,cambio_aceite_filtro,170000.0,Taller Mecánico La Ruta,52968
63,4,2023-11-23,preventivo,cambio_aceite_filtro,180000.0,Taller Mecánico La Ruta,42944
64,4,2023-11-23,preventivo,frenos,180000.0,Service Oficial Iveco,90245
65,4,2023-11-23,preventivo,cubiertas,180000.0,Service Oficial Iveco,45336
66,4,2024-02-27,preventivo,cambio_aceite_filtro,190000.0,Taller Diesel Norte,70015
67,4,2024-06-15,preventivo,cambio_aceite_filtro,200000.0,Taller Mecánico San Martín,75144
68,4,2024-10-20,preventivo,cambio_aceite_filtro,210000.0,Taller Rodríguez Hnos.,85441
69,4,2024-10-20,preventivo,frenos,210000.0,Taller Mecánico San Martín,100886
70,5,2022-01-27,preventivo,cambio_aceite_filtro,110000.0,Service Oficial Mercedes-Benz,17710
71,5,2022-07-26,preventivo,cambio_aceite_filtro,120000.0,Taller Mecánico San Martín,34632
72,5,2022-07-26,preventivo,frenos,120000.0,Taller Central de Flota,69751
73,5,2022-11-28,correctivo,,128012.6,Gomería y Mecánica El Rápido,205685
74,5,2022-12-16,preventivo,cambio_aceite_filtro,130000.0,Taller Rodríguez Hnos.,44905
75,5,2023-02-08,preventivo,cubiertas,135000.0,Frenos y Embragues Sur,20479
76,5,2023-04-11,preventivo,cambio_aceite_filtro,140000.0,Taller Rodríguez Hnos.,32856
77,5,2023-09-07,preventivo,cambio_aceite_filtro,150000.0,Taller Rodríguez Hnos.,50919
78,5,2023-09-07,preventivo,frenos,150000.0,Taller Central de Flota,66636
79,5,2023-12-28,preventivo,cambio_aceite_filtro,160000.0,Taller Central de Flota,39047
80,5,2023-12-28,preventivo,correa_distribucion,160000.0,Taller Diesel Norte,100022
81,5,2023-12-30,correctivo,,160212.6,Service Oficial Mercedes-Benz,56351
82,5,2024-03-28,preventivo,cambio_aceite_filtro,170000.0,Taller Mecánico San Martín,44417
83,5,2024-03-29,correctivo,,170126.2,Taller Mecánico San Martín,215770
84,5,2024-07-20,preventivo,cambio_aceite_filtro,180000.0,Gomería y Mecánica El Rápido,83027
85,5,2024-07-20,preventivo,frenos,180000.0,Taller Rodríguez Hnos.,151844
86,5,2024-07-20,preventivo,cubiertas,180000.0,Taller Mecánico San Martín,45318
87,5,2024-11-06,preventivo,cambio_aceite_filtro,190000.0,Service Oficial Mercedes-Benz,97504
88,6,2022-01-01,preventivo,cambio_aceite_filtro,110000.0,Taller Diesel Norte,33208
89,6,2022-06-26,preventivo,cambio_aceite_filtro,120000.0,Gomería y Mecánica El Rápido,24248
90,6,2022-06-26,preventivo,frenos,120000.0,Service Oficial Iveco,46155
91,6,2022-09-25,correctivo,,124290.3,Taller Mecánico San Martín,46944
92,6,2022-12-06,preventivo,cambio_aceite_filtro,130000.0,Gomería y Mecánica El Rápido,31328
93,6,2023-01-19,preventivo,cubiertas,135000.0,Taller Diesel Norte,27764
94,6,2023-02-06,correctivo,,137096.6,Taller Rodríguez Hnos.,73316
95,6,2023-03-06,preventivo,cambio_aceite_filtro,140000.0,Taller Mecánico La Ruta,40951
96,6,2023-05-22,correctivo,,145802.5,Taller Central de Flota,219048
97,6,2023-08-12,preventivo,cambio_aceite_filtro,150000.0,Gomería y Mecánica El Rápido,44675
98,6,2023-08-12,preventivo,frenos,150000.0,Gomería y Mecánica El Rápido,85638
99,6,2023-12-10,preventivo,cambio_aceite_filtro,160000.0,Taller Mecánico San Martín,39570
100,6,2023-12-10,preventivo,correa_distribucion,160000.0,Frenos y Embragues Sur,159856
101,6,2024-01-04,correctivo,,162716.9,Frenos y Embragues Sur,360803
102,6,2024-02-21,correctivo,,168440.9,Service Oficial Mercedes-Benz,291882
103,6,2024-03-04,preventivo,cambio_aceite_filtro,170000.0,Taller Rodríguez Hnos.,55547
104,6,2024-06-13,preventivo,cambio_aceite_filtro,180000.0,Taller Rodríguez Hnos.,66936
105,6,2024-06-13,preventivo,frenos,180000.0,Taller Diesel Norte,133011
106,6,2024-06-13,preventivo,cubiertas,180000.0,Gomería y Mecánica El Rápido,55021
107,6,2024-06-30,correctivo,,180663.0,Taller Central de Flota,72535
108,6,2024-10-31,preventivo,cambio_aceite_filtro,190000.0,Taller Mecánico La Ruta,97350
109,7,2022-02-04,correctivo,,117359.5,Frenos y Embragues Sur,138966
110,7,2022-03-08,preventivo,cambio_aceite_filtro,120000.0,Frenos y Embragues Sur,27049
111,7,2022-03-08,preventivo,frenos,120000.0,Service Oficial Mercedes-Benz,51141
112,7,2022-10-07,preventivo,cambio_aceite_filtro,130000.0,Frenos y Embragues Sur,32802
113,7,2022-12-11,preventivo,cubiertas,135000.0,Service Oficial Mercedes-Benz,15955
114,7,2023-02-05,preventivo,cambio_aceite_filtro,140000.0,Taller Diesel Norte,48713
115,7,2023-05-29,preventivo,cambio_aceite_filtro,150000.0,Taller Rodríguez Hnos.,54375
116,7,2023-05-29,preventivo,frenos,150000.0,Frenos y Embragues Sur,69413
117,7,2023-10-18,preventivo,cambio_aceite_filtro,160000.0,Frenos y Embragues Sur,49706
118,7,2023-10-18,preventivo,correa_distribucion,160000.0,Taller Rodríguez Hnos.,112717
119,7,2024-01-21,preventivo,cambio_aceite_filtro,170000.0,Taller Rodríguez Hnos.,71254
120,7,2024-04-23,preventivo,cambio_aceite_filtro,180000.0,Taller Central de Flota,73618
121,7,2024-04-23,preventivo,frenos,180000.0,Frenos y Embragues Sur,89416
122,7,2024-04-23,preventivo,cubiertas,180000.0,Service Oficial Mercedes-Benz,55033
123,7,2024-09-07,preventivo,cambio_aceite_filtro,190000.0,Taller Rodríguez Hnos.,83977
124,7,2024-12-02,preventivo,cambio_aceite_filtro,200000.0,Taller Central de Flota,81496
125,8,2022-03-12,preventivo,cambio_aceite_filtro,130000.0,Taller Central de Flota,30559
126,8,2022-06-11,correctivo,,133638.3,Service Oficial Iveco,98930
127,8,2022-07-29,preventivo,cubiertas,135000.0,Taller Central de Flota,16720
128,8,2022-11-21,preventivo,cambio_aceite_filtro,140000.0,Taller Mecánico La Ruta,46882
129,8,2023-02-17,preventivo,cambio_aceite_filtro,150000.0,Service Oficial Mercedes-Benz,42845
130,8,2023-02-17,preventivo,frenos,150000.0,Taller Central de Flota,45522
131,8,2023-07-06,preventivo,cambio_aceite_filtro,160000.0,Gomería y Mecánica El Rápido,35610
132,8,2023-07-06,preventivo,correa_distribucion,160000.0,Taller Central de Flota,103981
133,8,2023-11-09,preventivo,cambio_aceite_filtro,170000.0,Taller Mecánico San Martín,57064
134,8,2024-02-02,preventivo,cambio_aceite_filtro,180000.0,Frenos y Embragues Sur,55467
135,8,2024-02-02,preventivo,frenos,180000.0,Service Oficial Iveco,84066
136,8,2024-02-02,preventivo,cubiertas,180000.0,Frenos y Embragues Sur,30093
137,8,2024-05-22,preventivo,cambio_aceite_filtro,190000.0,Taller Central de Flota,73341
138,8,2024-07-15,correctivo,,193959.7,Taller Mecánico San Martín,114483
139,8,2024-09-20,preventivo,cambio_aceite_filtro,200000.0,Frenos y Embragues Sur,70691
140,9,2022-09-13,preventivo,cambio_aceite_filtro,100000.0,Taller Mecánico San Martín,32504
141,9,2023-02-02,preventivo,cambio_aceite_filtro,110000.0,Taller Mecánico La Ruta,48648
142,9,2023-04-02,correctivo,,113728.3,Frenos y Embragues Sur,264191
143,9,2023-09-07,preventivo,cambio_aceite_filtro,120000.0,Gomería y Mecánica El Rápido,38681
144,9,2023-09-07,preventivo,frenos,120000.0,Taller Diesel Norte,97539
145,9,2024-01-18,preventivo,cambio_aceite_filtro,130000.0,Service Oficial Mercedes-Benz,64799
146,9,2024-03-15,preventivo,cubiertas,135000.0,Frenos y Embragues Sur,38977
147,9,2024-07-03,preventivo,cambio_aceite_filtro,140000.0,Service Oficial Mercedes-Benz,51819
148,9,2024-12-18,preventivo,cambio_aceite_filtro,150000.0,Frenos y Embragues Sur,98356
149,9,2024-12-18,preventivo,frenos,150000.0,Gomería y Mecánica El Rápido,124171
150,10,2023-12-11,preventivo,cambio_aceite_filtro,10000.0,Gomería y Mecánica El Rápido,70362
151,10,2024-05-20,preventivo,cambio_aceite_filtro,20000.0,Taller Rodríguez Hnos.,65994
152,10,2024-09-20,correctivo,,25839.2,Service Oficial Mercedes-Benz,252756
153,10,2024-11-12,preventivo,cambio_aceite_filtro,30000.0,Service Oficial Iveco,95742
154,10,2024-11-12,preventivo,frenos,30000.0,Taller Diesel Norte,89257
155,11,2022-05-08,preventivo,cambio_aceite_filtro,110000.0,Gomería y Mecánica El Rápido,22200
156,11,2022-12-19,preventivo,cambio_aceite_filtro,120000.0,Service Oficial Mercedes-Benz,43916
157,11,2022-12-19,preventivo,frenos,120000.0,Taller Mecánico San Martín,60930
158,11,2023-02-13,correctivo,,124567.8,Taller Central de Flota,184535
159,11,2023-05-21,preventivo,cambio_aceite_filtro,130000.0,Frenos y Embragues Sur,37177
160,11,2023-08-15,correctivo,,133146.0,Service Oficial Iveco,164444
161,11,2023-10-04,preventivo,cubiertas,135000.0,Taller Rodríguez Hnos.,32333
162,11,2023-12-04,preventivo,cambio_aceite_filtro,140000.0,Taller Mecánico La Ruta,36376
163,11,2024-04-04,preventivo,cambio_aceite_filtro,150000.0,Taller Mecánico La Ruta,52266
164,11,2024-04-04,preventivo,frenos,150000.0,Gomería y Mecánica El Rápido,116364
165,11,2024-10-19,preventivo,cambio_aceite_filtro,160000.0,Service Oficial Iveco,62208
166,11,2024-10-19,preventivo,correa_distribucion,160000.0,Taller Diesel Norte,140649
167,12,2022-01-04,preventivo,cambio_aceite_filtro,140000.0,Service Oficial Mercedes-Benz,17035
168,12,2022-03-02,correctivo,,143344.5,Taller Diesel Norte,78193
169,12,2022-08-31,preventivo,cambio_aceite_filtro,150000.0,Frenos y Embragues Sur,30126
170,12,2022-08-31,preventivo,frenos,150000.0,Gomería y Mecánica El Rápido,43999
171,12,2023-01-23,preventivo,cambio_aceite_filtro,160000.0,Taller Rodríguez Hnos.,36835
172,12,2023-01-23,preventivo,correa_distribucion,160000.0,Taller Central de Flota,132680
173,12,2023-08-22,preventivo,cambio_aceite_filtro,170000.0,Gomería y Mecánica El Rápido,56706
174,12,2023-10-18,correctivo,,172658.7,Taller Mecánico San Martín,260084
175,12,2023-10-26,correctivo,,172973.9,Taller Mecánico San Martín,218795
176,12,2024-01-18,preventivo,cambio_aceite_filtro,180000.0,Gomería y Mecánica El Rápido,66657
177,12,2024-01-18,preventivo,frenos,180000.0,Service Oficial Iveco,107846
