pedido_id,cliente_id,fecha_pedido,fecha_entrega_estimada,estado
1,1,2022-01-06,2022-01-08,entregado
2,1,2022-01-11,2022-01-12,entregado
3,1,2022-01-16,2022-01-17,entregado
4,1,2022-01-22,2022-01-24,entregado
5,1,2022-01-27,2022-01-28,entregado
6,1,2022-02-02,2022-02-04,entregado
7,1,2022-02-07,2022-02-09,entregado
8,1,2022-02-12,2022-02-14,entregado
9,1,2022-02-18,2022-02-20,entregado
10,1,2022-02-25,2022-02-27,cancelado
11,1,2022-03-03,2022-03-04,entregado
12,1,2022-03-09,2022-03-10,entregado
13,1,2022-03-16,2022-03-17,entregado
14,1,2022-03-23,2022-03-24,entregado
15,1,2022-03-31,2022-04-02,entregado
16,1,2022-04-07,2022-04-08,entregado
17,1,2022-04-16,2022-04-18,entregado
18,1,2022-04-24,2022-04-25,entregado
19,1,2022-05-01,2022-05-03,entregado
20,1,2022-05-09,2022-05-10,entregado
21,1,2022-05-19,2022-05-20,entregado
22,1,2022-05-29,2022-05-30,entregado
23,1,2022-06-16,2022-06-18,entregado
24,1,2022-06-26,2022-06-27,entregado
25,1,2022-07-07,2022-07-09,entregado
26,1,2022-07-17,2022-07-18,entregado
27,1,2022-08-05,2022-08-06,entregado
28,1,2022-08-14,2022-08-16,entregado
29,1,2022-08-31,2022-09-02,entregado
30,1,2022-09-10,2022-09-12,entregado
31,1,2022-09-19,2022-09-21,entregado
32,1,2022-09-27,2022-09-28,entregado
33,1,2022-10-10,2022-10-11,entregado
34,1,2022-10-17,2022-10-18,entregado
35,1,2022-10-24,2022-10-26,entregado
36,1,2022-11-01,2022-11-03,entregado
37,1,2022-11-07,2022-11-08,entregado
38,1,2022-11-14,2022-11-15,entregado
39,1,2022-11-20,2022-11-21,entregado
40,1,2022-11-28,2022-11-29,entregado
41,1,2022-12-05,2022-12-07,entregado
42,1,2022-12-11,2022-12-13,entregado
43,1,2022-12-17,2022-12-18,entregado
44,1,2022-12-22,2022-12-23,entregado
45,1,2022-12-28,2022-12-29,entregado
46,1,2023-01-02,2023-01-04,entregado
47,1,2023-01-08,2023-01-10,entregado
48,1,2023-01-14,2023-01-16,entregado
49,1,2023-01-20,2023-01-22,entregado
50,1,2023-01-26,2023-01-27,entregado
51,1,2023-02-01,2023-02-02,entregado
52,1,2023-02-07,2023-02-08,entregado
53,1,2023-02-13,2023-02-15,entregado
54,1,2023-02-18,2023-02-19,entregado
55,1,2023-02-24,2023-02-26,entregado
56,1,2023-03-03,2023-03-04,entregado
57,1,2023-03-10,2023-03-11,entregado
58,1,2023-03-16,2023-03-17,entregado
59,1,2023-03-23,2023-03-25,entregado
60,1,2023-03-29,2023-03-30,entregado
61,1,2023-04-05,2023-04-07,entregado
62,1,2023-04-13,2023-04-14,entregado
63,1,2023-04-21,2023-04-23,entregado
64,1,2023-04-29,2023-05-01,entregado
65,1,2023-05-06,2023-05-08,entregado
66,1,2023-06-04,2023-06-06,entregado
67,1,2023-06-15,2023-06-17,entregado
68,1,2023-07-08,2023-07-10,entregado
69,1,2023-07-17,2023-07-19,entregado
70,1,2023-07-27,2023-07-28,entregado
71,1,2023-08-07,2023-08-08,entregado
72,1,2023-08-17,2023-08-18,entregado
73,1,2023-08-26,2023-08-27,entregado
74,1,2023-09-05,2023-09-06,entregado
75,1,2023-09-12,2023-09-13,entregado
76,1,2023-09-21,2023-09-22,entregado
77,1,2023-09-30,2023-10-02,entregado
78,1,2023-10-09,2023-10-11,entregado
79,1,2023-10-16,2023-10-18,entregado
80,1,2023-10-24,2023-10-25,entregado
81,1,2023-10-30,2023-11-01,cancelado
82,1,2023-11-06,2023-11-07,entregado
83,1,2023-11-12,2023-11-13,entregado
84,1,2023-11-19,2023-11-21,entregado
