vehiculo_id,patente,modelo_id,deposito_id,km_inicial_periodo,km_actual,fecha_ultima_actualizacion_km,estado_actual,fecha_alta,fecha_baja
1,WQS275,2,1,110913.0,169550.0,2024-09-06,operativo,2019-01-02,
2,AE086KX,9,1,132893.0,216186.8,2024-12-31,operativo,2019-01-02,
3,AJ662DG,7,1,108796.0,196442.2,2024-12-31,operativo,2019-01-02,
4,AA872XY,6,1,133053.0,217677.3,2024-12-31,operativo,2019-01-02,
5,QYE492,7,1,107896.0,196580.7,2024-12-31,operativo,2019-01-02,
6,BSR202,9,1,109990.0,197166.9,2024-12-31,operativo,2019-01-02,
7,AB901ND,9,1,115381.0,203205.8,2024-12-31,operativo,2019-01-02,
8,AD872IF,1,1,124734.0,209924.5,2024-12-31,operativo,2019-01-02,
9,AF529EJ,3,2,91435.0,151397.2,2024-12-31,operativo,2019-01-02,
10,AJ560EA,3,2,0.0,29870.0,2024-06-23,operativo,2023-06-06,
11,AB129ZT,9,2,103571.0,165428.0,2024-12-31,operativo,2019-01-02,
12,RCJ679,2,2,139816.0,191244.0,2024-11-21,operativo,2019-01-02,
13,DHT205,8,2,0.0,2071.2,2024-12-31,operativo,2024-12-09,
14,IFT756,6,2,88183.0,149798.0,2024-12-31,operativo,2019-01-02,
15,WRK363,6,2,135897.0,193991.3,2024-12-31,operativo,2019-01-02,
16,TZW965,6,2,142528.0,148810.4,2024-12-31,operativo,2019-01-02,2022-05-24
17,RQO230,6,2,0.0,23281.2,2024-12-31,operativo,2024-01-01,
18,AB366OD,3,2,102646.0,165069.0,2024-12-31,operativo,2019-01-02,
19,BIN100,4,2,0.0,40581.4,2024-12-31,operativo,2023-01-29,
20,AF819WQ,10,2,115250.0,172672.1,2024-12-31,operativo,2019-01-02,
21,OAG623,9,3,115631.0,201089.3,2024-12-31,operativo,2019-01-02,
22,AG366GA,6,3,0.0,51980.2,2024-12-31,operativo,2023-04-16,
23,DII554,10,3,93900.0,180036.3,2024-12-31,en_taller,2019-01-02,
24,ECF333,6,3,0.0,30170.7,2024-12-31,operativo,2024-01-06,
25,WTV417,3,3,127443.0,216237.0,2024-12-31,operativo,2019-01-02,
26,HOJ037,6,3,136875.0,219859.0,2024-12-31,operativo,2019-01-02,
27,VCT747,1,3,131823.0,217214.7,2024-12-31,operativo,2019-01-02,
28,AF896UB,7,3,0.0,19942.4,2024-12-31,operativo,2024-05-03,
29,SSO139,7,3,116105.0,205563.6,2024-12-31,operativo,2019-01-02,
