viaje_id,pedido_id,orden_parada,hora_entrega_real
1,60715,1,07:31
2,139098,1,08:30
2,157869,2,09:23
2,152258,3,09:58
2,141761,4,10:35
2,171739,5,11:15
2,162266,6,11:53
3,149802,1,10:06
4,145885,1,08:45
4,135469,2,09:04
4,160615,3,09:51
4,131002,4,10:20
4,169982,5,10:56
4,158645,6,11:35
4,161657,7,12:26
5,104504,1,08:56
5,97713,2,09:43
5,87415,3,10:03
5,106303,4,10:47
5,79402,5,11:15
5,66700,6,11:48
6,86312,1,09:09
6,80497,2,09:24
6,70017,3,09:56
6,101931,4,10:52
6,68491,5,11:21
6,96643,6,12:08
6,68945,7,12:27
7,59287,1,08:55
8,127719,1,08:30
8,123596,2,08:54
9,61156,1,07:51
9,13673,2,08:40
9,42365,3,09:01
9,45602,4,09:35
9,38983,5,09:55
10,126841,1,10:02
11,82416,1,08:45
11,95228,2,09:32
11,87767,3,09:39
11,73385,4,10:27
11,110245,5,10:57
11,113044,6,11:52
12,37756,1,09:32
12,38771,2,10:26
12,49563,3,10:47
12,25651,4,11:28
12,3900,5,12:20
12,57120,6,13:00
12,62136,7,13:28
12,53798,8,14:11
12,36834,9,14:52
12,14141,10,15:49
12,26670,11,16:16
12,57874,12,16:44
13,144227,1,07:43
13,166278,2,08:22
13,135881,3,08:46
13,146332,4,09:31
14,99013,1,08:45
14,69691,2,09:28
14,87276,3,09:55
14,89951,4,10:40
14,98554,5,10:54
14,104934,6,11:20
14,103932,7,12:08
14,67192,8,12:35
14,107078,9,13:15
14,81523,10,13:46
14,91486,11,14:14
14,82299,12,15:10
15,172126,1,08:43
15,122218,2,09:39
15,166756,3,10:13
16,152166,1,08:46
16,164395,2,09:15
16,162360,3,09:56
16,114927,4,10:37
16,120096,5,11:03
16,135726,6,11:30
16,137970,7,12:10
17,58866,1,09:07
17,5143,2,09:59
17,49428,3,10:37
17,22879,4,10:59
17,6523,5,11:30
17,51219,6,12:10
17,13304,7,13:04
17,29725,8,13:27
17,3119,9,13:55
17,36742,10,14:49
17,56715,11,15:25
18,150700,1,08:01
18,133564,2,08:53
18,151825,3,09:37
18,170929,4,10:21
18,150354,5,11:03
18,149223,6,11:59
18,149017,7,12:52
19,5006,1,07:48
19,47247,2,09:03
20,132362,1,06:52
20,156876,2,07:24
20,120708,3,08:06
20,139959,4,08:53
20,148514,5,09:14
20,168318,6,09:54
20,124302,7,10:36
20,114490,8,11:28
20,114732,9,12:17
21,76685,1,07:18
21,73599,2,08:00
21,76273,3,08:58
21,68387,4,09:43
21,74691,5,10:10
21,108151,6,10:49
22,12590,1,07:16
22,10190,2,07:47
22,12976,3,08:45
22,37283,4,08:57
22,39406,5,09:39
22,7407,6,10:18
22,37517,7,11:19
22,25360,8,11:55
22,40916,9,12:26
22,49026,10,12:57
