viaje_id,vehiculo_id,chofer_id,zona_id,fecha,km_inicial,km_final,hora_salida,hora_llegada
1,2,7,1,2022-01-02,132893.0,132928.1,06:02,07:32
2,23,30,8,2022-01-02,93900.0,94001.1,07:58,11:36
3,26,34,7,2022-01-02,136875.0,136912.2,08:58,10:18
4,29,33,10,2022-01-02,116105.0,116172.2,07:55,12:26
5,11,24,6,2022-01-02,103571.0,103659.5,08:34,11:40
6,14,12,5,2022-01-02,88183.0,88262.3,08:17,12:37
7,8,10,3,2022-01-02,124734.0,124774.6,07:26,08:58
8,25,26,11,2022-01-02,127443.0,127487.3,07:30,09:07
9,4,2,2,2022-01-02,133053.0,133106.6,07:15,10:05
10,27,25,9,2022-01-02,131823.0,131854.2,08:36,09:55
11,11,16,5,2022-01-03,103659.5,103721.7,08:12,11:33
12,1,2,1,2022-01-03,110913.0,111022.9,08:58,16:48
13,21,29,11,2022-01-03,115631.0,115686.5,06:56,09:38
14,14,19,5,2022-01-03,88262.3,88459.4,08:13,14:54
15,29,32,9,2022-01-03,116172.2,116226.6,08:01,10:01
16,26,34,8,2022-01-03,136912.2,136960.3,08:11,11:58
17,7,5,2,2022-01-03,115381.0,115534.3,08:47,15:09
18,23,30,7,2022-01-03,94001.1,94082.3,07:29,12:40
19,2,4,1,2022-01-03,132928.1,132980.4,06:47,08:54
20,27,31,10,2022-01-03,131854.2,131976.8,06:03,12:00
21,16,20,6,2022-01-03,142528.0,142577.1,06:26,10:58
22,6,9,3,2022-01-03,109990.0,110132.1,06:33,12:56
23,9,11,6,2022-01-04,91435.0,91490.9,06:13,11:27
24,4,4,1,2022-01-04,133106.6,133235.1,06:53,13:20
25,26,33,7,2022-01-04,136960.3,136994.1,06:34,08:02
26,14,13,5,2022-01-04,88459.4,88523.4,06:39,09:45
27,12,18,5,2022-01-04,139816.0,139985.7,07:23,13:06
28,20,15,4,2022-01-04,115250.0,115290.2,06:32,07:54
29,25,26,10,2022-01-04,127487.3,127609.6,06:32,11:47
30,23,34,10,2022-01-04,94082.3,94130.4,08:04,10:10
31,21,25,9,2022-01-04,115686.5,115719.8,07:00,08:19
32,5,9,2,2022-01-04,107896.0,108036.5,06:52,13:14
33,3,3,2,2022-01-04,108796.0,108955.9,07:13,11:42
34,29,35,11,2022-01-04,116226.6,116289.5,06:21,08:51
35,27,32,8,2022-01-04,131976.8,132124.8,07:50,14:29
36,8,1,3,2022-01-04,124774.6,124854.2,08:49,12:27
37,6,5,3,2022-01-05,110132.1,110255.5,06:50,11:34
38,23,27,10,2022-01-05,94130.4,94241.0,07:05,12:57
39,5,9,2,2022-01-05,108036.5,108172.2,07:04,12:37
40,15,20,6,2022-01-05,135897.0,135965.8,08:55,15:51
41,8,10,1,2022-01-05,124854.2,125010.4,08:42,14:27
42,25,29,8,2022-01-05,127609.6,127710.8,08:23,13:41
43,27,25,9,2022-01-05,132124.8,132155.5,06:45,08:06
44,29,30,7,2022-01-05,116289.5,116373.1,06:51,11:15
45,26,34,10,2022-01-05,136994.1,137059.1,08:47,11:25
46,20,21,5,2022-01-05,115290.2,115368.5,08:09,10:48
47,12,18,5,2022-01-05,139985.7,140133.1,08:36,16:23
48,3,2,1,2022-01-05,108955.9,109024.5,06:02,08:54
49,21,28,11,2022-01-05,115719.8,115812.5,06:46,09:35
50,6,4,3,2022-01-06,110255.5,110288.3,08:29,10:47
51,7,7,1,2022-01-06,115534.3,115620.6,06:14,14:02
52,8,10,1,2022-01-06,125010.4,125072.6,08:55,11:36
